system   D            wsystem.c:583  maybe_parent_dir                 [   0.00064] Also searching C:\Users\Bagrat\Documents\Visual Studio 2015\Projects\GuessTheMovie\
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.15984] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.16825] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.16830] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.16957] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.16960] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.17033] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.17043] _al_d3d_sync_bitmap (video) ref count == 2
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [   7.17229] destroying display 00381E08 (current 00000000)
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [   7.17241] converting display bitmap 042B0E30 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   7.17369] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   7.17375] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   7.17639] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [   7.17716] converting display bitmap 042E4D00 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   7.17873] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   7.17879] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   7.18179] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [   7.18267] converting display bitmap 0040DE40 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   7.18408] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   7.18414] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   7.18719] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [   7.18809] converting display bitmap 00403230 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   7.18971] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   7.18979] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   7.19378] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [   7.19467] waiting for display 00381E08's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [   7.21005] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [   7.22318] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.22329] removed dtor for object 00403230
dtor     D               dtor.c:114  _al_run_destructors              [   7.22565] calling dtor for object 042B0E30, func 5ABF2595
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.22572] removed dtor for object 042B0E30
dtor     D               dtor.c:114  _al_run_destructors              [   7.22595] calling dtor for object 042E4D00, func 5ABF2595
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.22599] removed dtor for object 042E4D00
dtor     D               dtor.c:114  _al_run_destructors              [   7.22622] calling dtor for object 0040DE40, func 5ABF2595
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.22626] removed dtor for object 0040DE40
